FID	IID	PRS_inf	PRS_grid
0	NA19328	0.00708697800665293	-0.0787305028060102
0	NA19331	0.0386357837211525	0.0467410584039187
0	NA19332	-0.0263835577449226	0.0284980682695794
0	NA19334	0.0307294346282165	0.0826775618770298
0	NA19338	0.0482845676490257	-0.0592004629129661
0	NA19346	0.0136937391901083	0.00677810133640617
0	NA19347	-0.00908329078634782	0.0176016816989655
0	NA19350	0.00152816028086481	-0.0645508296957665
0	NA19351	0.0585196550536688	-0.0741024306397083
0	NA19355	0.0272016769075366	-0.0954374873440368
0	NA19360	-0.00711761584042358	-0.00677775588553621
0	NA19372	0.0561763656792507	-0.0322245646269352
0	NA19374	-0.020327413405188	-0.0343572314652765
0	NA19375	0.0105991737996963	0.00120339642475632
0	NA19376	-0.0672612626753799	-0.034531357326668
0	NA19377	0.0258378400734725	-0.00904258694933125
0	NA19378	0.000527590595004332	-0.0537626890654826
0	NA19379	0.0557333170184981	0.00454565011999899
0	NA19380	0.0125931452810471	-0.0770613511762255
0	NA19383	-0.0195363610959453	0.0264088198174177
0	NA19384	0.023147670460928	-0.0365106991223166
0	NA19385	-0.0166531398979734	-0.0289402212479175
0	NA19390	-0.0392283864582047	-0.0244504743189398
0	NA19391	0.0485649472341437	-0.0279333809530433
0	NA19393	0.036807666468051	0.022332048777294
0	NA19394	0.0563573099176413	-0.0259764944812172
0	NA19395	0.0284518227691912	-0.0427060283830926
0	NA19397	0.0355043498152611	0.04002758927561
0	NA19399	0.0294924739311208	-0.0951675726229895
0	NA19401	-0.018296615082189	-0.068010528623933
0	NA19403	-0.0068840654623474	-0.024829303028459
0	NA19404	-0.0156464170035974	0.000653670094024825
0	NA19428	0.0673675600475391	0.056634852018512
0	NA19429	0.0147006949254523	-0.0583763975992854
0	NA19430	0.0111106881373272	-0.00938760511045431
0	NA19431	-0.000269901128115244	0.00839495131681942
0	NA19435	-0.0387963246545986	-0.0248827931208338
0	NA19436	-0.00379949971312053	-0.0789731417624064
0	NA19437	0.0125335092956369	0.0626372807995731
0	NA19438	0.0888819315763156	0.0233986441704633
0	NA19439	0.0778600305644933	0.084699647055101
0	NA19440	0.0150931885373605	0.0354217205207632
0	NA19443	0.0210597201777833	-0.0773361561314522
0	NA19446	-0.0386102639659796	-0.00363950870137814
0	NA19448	0.00923929256843146	0.0127728138443591
0	NA19449	0.0475759536595576	-0.0238412271096779
0	NA19451	0.0292962978348838	-0.0295631518650525
0	NA19452	0.00108405961656967	0.0159847337466751
0	NA19454	0.0425283250002629	-0.0736219537440884
0	NA19455	-0.00580447117506989	-0.0783905458763124
0	NA19456	0.0881265268947706	-0.00618754786810034
0	NA19457	0.0101217717908251	-0.0444584902642536
0	NA19461	0.0521833887870206	-0.0114974790766785
0	NA19462	0.0675911685097627	-0.0385596577066833
0	NA19463	0.0654782465993605	0.0105110881506711
0	NA19466	-0.00649219270287743	0.017631983788591
0	NA19467	-0.0169662896860997	-0.010703151666756
0	NA19468	0.0760438841091895	-0.0471455973851329
0	NA19471	-0.0132796943398352	0.00510150208226962
0	NA19472	0.0164136402206677	0.0446798727970528
0	NA19473	-0.00405138869720428	-0.013072992872943
0	NA19474	0.0367465460650198	-0.0295864099156217
0	NA19475	0.0417484704641549	-0.0264059623724092
0	NA19625	0.0448022577536625	-0.0301823942725108
0	NA19700	0.0199976794240454	-0.172956704600525
0	NA19701	0.0570191233084651	-0.0782678102182257
0	NA19703	0.0482371687554244	-0.000449972986806748
0	NA19704	-0.00944367825357697	0.0527697949157586
0	NA19707	-0.0250600601715174	0.0158937165256783
0	NA19711	0.016117791633371	0.0574485757587932
0	NA19712	0.058406559889977	-0.0208005147857226
0	NA19713	-0.00388158735085998	0.0437768251019828
0	NA19818	0.0583409443276086	-0.0255382287867112
0	NA19819	0.0122812485314163	-0.101463121867076
0	NA19834	0.00253912937726715	0.0340641807038422
0	NA19835	-0.0371135251292114	-0.0147675719506847
0	NA19900	0.0140650050883517	0.0176792811454249
0	NA19901	-0.0399442827235007	-0.0922843741875783
0	NA19904	-0.103335310939981	-0.00396488160312565
0	NA19908	0.0704018778646623	-0.0704414624812709
0	NA19909	0.00367287531233978	-0.0357315979748864
0	NA19913	-0.0258767439525047	0.0321125300663562
0	NA19914	-0.0314544738221071	-0.0661413286490029
0	NA19916	-0.0616849252162116	0.0133807265783721
0	NA19917	0.0222751693318468	0.0398125668062702
0	NA19920	0.0438652595454318	-0.0156770447245175
0	NA19921	-0.0209025391756051	0.0597105896224193
0	NA19922	0.0197653055766096	-0.0636875016916317
0	NA19923	-0.0129272184893624	-0.0897302209851604
0	NA19982	0.0121336041664284	0.0338364844164719
0	NA19984	-0.0114915706086713	-0.0374067785011102
0	NA20126	-0.0325414772573675	-0.0416759467891493
0	NA20127	0.0481480622123682	-0.0621048441731344
0	NA20274	-0.0764667919977796	-0.0114311576836383
0	NA20276	-0.0134015902745296	-0.143635816772778
0	NA20278	-0.0559944446372038	-0.0536628977719525
0	NA20281	0.029015162214747	-0.0223287635529177
0	NA20282	-0.0560270822064648	0.0119008444880565
0	NA20287	0.00670225255779703	-0.0353375035967937
0	NA20289	-0.0402161863530719	-0.0849061922873587
0	NA20291	0.0309445756374933	0.0220158110395418
0	NA20294	0.0101251555311225	0.0170489844000965
0	NA20296	0.0131379727669754	0.0215707252290558
0	NA20298	0.0370134739669674	0.0230971042883553
0	NA20299	-0.0374772665809059	0.0106428019257418
0	NA20314	-0.0872447961195489	-0.0408530973703341
0	NA20317	0.00867580103014127	0.000119146883407146
0	NA20318	0.00760369163022892	0.056016523005693
0	NA20320	-0.0127215347294849	-0.0608664870738075
0	NA20321	-0.0448522375896658	-0.0321495583587957
0	NA20332	-0.0327110389027189	0.0058380564646488
0	NA20334	-0.0475164098589161	-0.0811283956541287
0	NA20339	0.0388228481895843	-0.00772411643316311
0	NA20340	-0.00781638598786836	-0.0609510979600494
0	NA20342	-0.0210760518844445	-0.064693605355897
0	NA20346	-0.0523858644607763	-0.0171168816477655
0	NA20348	-0.0261725678556831	0.00175007917675862
0	NA20351	-0.0461739244451225	-0.0130341603011111
0	NA20355	-0.0412703376587489	-0.155026779057935
0	NA20356	-0.0146848613319199	0.0161558766318891
0	NA20357	-0.0115349118020703	0.0415572759295079
0	NA20359	-0.0681501431720675	-0.0870995886931882
0	NA20362	-0.0437037776498714	-0.0910777780104489
0	NA20412	-0.0142429215994658	0.0187611505452087
